PSG Operasyon Müdürl,PSG Operasyn mrkzi 2,Tesisat,Bildirim No,Sipariş No,ENLEM,BOYLAM,Toplam kwh,mahalle adı,ILCE_ADI,KAÇAK NEDENİ,HESAPLAMA YÖNTEMİ,NİTELİKLİ /NİTELİKSİZ DURUMU,Kulnc Drm.(CS Order),Sipariş türü,Gerçekleşen Tarih(sipariş),İşyeri/kaynak,Sonuç 1,Sonuç 1 grup kodu,Sonuç 2,Sonuç 2 grup kodu,Sonuç 3,Sonuç 3 grup kodu
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4010989519.0,595629694.0,683953009.0,40.89592361617157,29.176940248646144,3516,PETROL İŞ,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,11.07.2023,6800/50030203,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4010989519.0,596456550.0,684649119.0,40.89592361617157,29.176940248646144,3516,PETROL İŞ,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,01.08.2023,6800/50030210,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4010989519.0,597250888.0,685306410.0,40.89592361617157,29.176940248646144,3516,PETROL İŞ,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,05.09.2023,6800/50030210,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Söküldü,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4010989519.0,598084778.0,686025178.0,40.89592361617157,29.176940248646144,3516,PETROL İŞ,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,10.10.2023,6800/50030203,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4010989519.0,599010041.0,686833673.0,40.89592361617157,29.176940248646144,3516,PETROL İŞ,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,15.11.2023,6800/50030210,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4010989519.0,599124648.0,686932004.0,40.89592361617157,29.176940248646144,3516,PETROL İŞ,KARTAL,6.0,1.0,NİTELİKLİ,OK,ZM,23.11.2023,6800/50030210,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4005934382.0,593677439.0,682294324.0,40.9955489878144,29.0500198432712,3487,FİKİRTEPE,KADIKÖY,6.0,1.0,NİTELİKLİ,OK,VC,28.03.2023,6800/50030212,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4005934382.0,594610612.0,683076925.0,40.9955489878144,29.0500198432712,3487,FİKİRTEPE,KADIKÖY,6.0,1.0,NİTELİKLİ,OK,VC,24.05.2023,6800/50030217,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4005934382.0,595970138.0,684244872.0,40.9955489878144,29.0500198432712,3487,FİKİRTEPE,KADIKÖY,6.0,1.0,NİTELİKLİ,OK,VC,18.07.2023,6800/50030211,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4005934382.0,596520913.0,684704483.0,40.9955489878144,29.0500198432712,3487,FİKİRTEPE,KADIKÖY,6.0,1.0,NİTELİKLİ,OK,VC,04.08.2023,6800/50030217,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4005934382.0,598254005.0,686169377.0,40.9955489878144,29.0500198432712,3487,FİKİRTEPE,KADIKÖY,6.0,1.0,NİTELİKLİ,OK,VC,10.10.2023,6800/50030207,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4005934382.0,598816259.0,686667801.0,40.9955489878144,29.0500198432712,3487,FİKİRTEPE,KADIKÖY,6.0,1.0,NİTELİKLİ,OK,VC,01.11.2023,6800/50030207,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4005934382.0,599904266.0,687582998.0,40.9955489878144,29.0500198432712,3487,FİKİRTEPE,KADIKÖY,6.0,1.0,NİTELİKLİ,OK,VC,22.12.2023,6800/50030212,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005015791.0,593022489.0,681721542.0,40.8878374736249,29.1948171766187,3465,ÇAVUŞOĞLU,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,22.02.2023,6800/50030203,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005015791.0,593647350.0,682267264.0,40.8878374736249,29.1948171766187,3465,ÇAVUŞOĞLU,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,23.03.2023,6800/50030207,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005015791.0,594105859.0,682653539.0,40.8878374736249,29.1948171766187,3465,ÇAVUŞOĞLU,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,14.04.2023,6800/50030210,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005015791.0,594370042.0,682874937.0,40.8878374736249,29.1948171766187,3465,ÇAVUŞOĞLU,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,04.05.2023,6800/50030210,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005015791.0,594869224.0,683289994.0,40.8878374736249,29.1948171766187,3465,ÇAVUŞOĞLU,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,02.06.2023,6800/50030203,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4003845314.0,596507622.0,684693446.0,40.9785279907006,29.1070814339864,3461,İÇERENKÖY,ATAŞEHİR,6.0,1.0,NİTELİKLİ,OK,VC,02.08.2023,6800/50030250,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,TUZLA O.M.,4005836564.0,594207123.0,682736983.0,40.8230609864683,29.3144689369627,3461,İSTASYON,TUZLA,6.0,1.0,NİTELİKLİ,OK,VC,27.04.2023,6800/50030214,ELEKTRONİK SAYAÇ ANADEPOYA GİDECEK,CİHAZ DEĞİŞİMİ,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK
MARMARA DAĞ. OP. MÜD,TUZLA O.M.,4005836564.0,595629407.0,683952751.0,40.8230609864683,29.3144689369627,3461,İSTASYON,TUZLA,6.0,1.0,NİTELİKLİ,OK,VC,12.07.2023,6800/50030214,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4012761429.0,593004398.0,681706026.0,40.95925500000001,29.1565087,3456,BAŞIBÜYÜK,MALTEPE,8.0,1.0,NİTELİKLİ,OK,VC,21.02.2023,6800/50030207,ŞEBEKEDEN KAÇAK HAT.,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,PENDİK O.M.,4004312586.0,597522584.0,685540333.0,40.8775486230095,29.2342447177133,3446,BATI,PENDİK,10.0,1.0,NİTELİKLİ,OK,VC,11.09.2023,6800/50030210,ÖLÇÜ DEVRESİNE MÜDAHALE.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4005254854.0,593335705.0,682001103.0,41.0189538471399,29.1595955388771,3444,ADEM YAVUZ,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,08.03.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4005254854.0,595226829.0,683604164.0,41.0189538471399,29.1595955388771,3444,ADEM YAVUZ,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,14.06.2023,6800/50030260,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4005254854.0,596767522.0,684908497.0,41.0189538471399,29.1595955388771,3444,ADEM YAVUZ,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,14.08.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4005254854.0,599197368.0,686994216.0,41.0189538471399,29.1595955388771,3444,ADEM YAVUZ,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,21.11.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,PENDİK O.M.,4012665903.0,593708871.0,682321617.0,40.879326,29.258135,3427,KAYNARCA,PENDİK,5.0,1.0,NİTELİKLİ,OK,VC,31.03.2023,6800/50030216,HATTAN DA KESİLMELİ,DİĞER SONUÇLAR,KAYITTA OLMAYAN SAYAÇ(TESİSATLI).,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK
MARMARA DAĞ. OP. MÜD,PENDİK O.M.,4003851192.0,594372858.0,682877419.0,40.8744293720493,29.2744335925401,3425,ÇAMÇEŞME,PENDİK,6.0,1.0,NİTELİKLİ,OK,VC,05.05.2023,6800/50030216,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004207751.0,593459586.0,682107882.0,41.0110580344627,29.1348238532306,3420,MEHMET AKİF,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,15.03.2023,6800/50030252,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004207751.0,595092973.0,683485767.0,41.0110580344627,29.1348238532306,3420,MEHMET AKİF,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,12.06.2023,6800/50030252,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004207751.0,596004352.0,684270017.0,41.0110580344627,29.1348238532306,3420,MEHMET AKİF,ÜMRANİYE,8.0,1.0,NİTELİKLİ,OK,ZM,28.07.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004207751.0,596859030.0,684983557.0,41.0110580344627,29.1348238532306,3420,MEHMET AKİF,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,16.08.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,BEYKOZ O.M.,4012954142.0,597935109.0,685897108.0,41.2038247469915,29.1676009789333,3415,ANADOLUFENERİ,BEYKOZ,9.0,1.0,NİTELİKLİ,OK,ZM,04.10.2023,6800/50030245,KAYITTA OLMAYAN SAYAÇ(TESİSATSIZ).,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Takılamadı,KAVİ İŞLEMLERİ
KARADENİZ DAĞ. OP. M,ŞİLE O.M.,4012826827.0,594469064.0,682957690.0,41.1661909357645,29.6250091516413,3403,BALİBEY,ŞİLE,9.0,1.0,NİTELİKLİ,OK,VC,08.05.2023,6800/50640201,KAYITTA OLMAYAN SAYAÇ(TESİSATSIZ).,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4003938147.0,593336032.0,682001380.0,41.0238692554759,29.1459777746472,3397,CEMİL MERİÇ,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,09.03.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4003938147.0,593795110.0,682394136.0,41.0238692554759,29.1459777746472,3397,CEMİL MERİÇ,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,31.03.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4003938147.0,594886952.0,683305260.0,41.0238692554759,29.1459777746472,3397,CEMİL MERİÇ,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,03.06.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4003938147.0,595148852.0,683535448.0,41.0238692554759,29.1459777746472,3397,CEMİL MERİÇ,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,ZM,16.06.2023,6800/50030252,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4003938147.0,596504598.0,684691011.0,41.0238692554759,29.1459777746472,3397,CEMİL MERİÇ,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,07.08.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4003938147.0,597634971.0,685635994.0,41.0238692554759,29.1459777746472,3397,CEMİL MERİÇ,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,ZM,19.09.2023,6800/50030252,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4003938147.0,598442772.0,686338934.0,41.0238692554759,29.1459777746472,3397,CEMİL MERİÇ,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,ZM,23.10.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4003938147.0,599196451.0,686993460.0,41.0238692554759,29.1459777746472,3397,CEMİL MERİÇ,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,28.11.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4003938147.0,599709388.0,687419619.0,41.0238692554759,29.1459777746472,3397,CEMİL MERİÇ,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,ZM,20.12.2023,6800/50030252,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,VANİKÖY O.M.,4004894169.0,593459785.0,682108071.0,41.0683223826838,29.0966999287116,3397,YENİ MAHALLE,BEYKOZ,6.0,1.0,NİTELİKLİ,OK,VC,16.03.2023,6800/50030249,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,VANİKÖY O.M.,4004894169.0,596506958.0,684692897.0,41.0683223826838,29.0966999287116,3397,YENİ MAHALLE,BEYKOZ,6.0,1.0,NİTELİKLİ,OK,VC,02.08.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,VANİKÖY O.M.,4004894169.0,599197116.0,686993998.0,41.0683223826838,29.0966999287116,3397,YENİ MAHALLE,BEYKOZ,6.0,1.0,NİTELİKLİ,OK,VC,22.11.2023,6800/50030249,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004616436.0,593336102.0,682001531.0,41.018704634563,29.1634120712462,3367,AŞAĞI DUDULLU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,08.03.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4011184355.0,593341568.0,682006161.0,41.033157064241,29.1764697117849,3367,MİMAR SİNAN,ÇEKMEKÖY,6.0,1.0,NİTELİKLİ,OK,ZM,08.03.2023,6800/50030252,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004616436.0,593795001.0,682394087.0,41.018704634563,29.1634120712462,3367,AŞAĞI DUDULLU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,31.03.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004616436.0,594907234.0,683323191.0,41.018704634563,29.1634120712462,3367,AŞAĞI DUDULLU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,06.06.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004616436.0,596504846.0,684691228.0,41.018704634563,29.1634120712462,3367,AŞAĞI DUDULLU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,07.08.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004616436.0,599196848.0,686993775.0,41.018704634563,29.1634120712462,3367,AŞAĞI DUDULLU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,20.11.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4004454662.0,592900857.0,681612712.0,41.0518770685475,29.0953785106193,3366,DUMLUPINAR,ÜMRANİYE,4.0,1.0,NİTELİKLİ,OK,VC,22.02.2023,6800/50030250,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4004464596.0,594862932.0,683284833.0,40.9911395151694,29.0286110904005,3352,OSMANAĞA,KADIKÖY,6.0,1.0,NİTELİKLİ,OK,VC,31.05.2023,6800/50030211,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4004475968.0,593613660.0,682238561.0,41.0058861370507,29.1192105751262,3349,SİTE,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,21.03.2023,6800/50030250,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4003887806.0,599515947.0,687258534.0,40.9933926205123,29.1822324572729,3344,ESENKENT,ÜMRANİYE,4.0,1.0,NİTELİKLİ,OK,VC,11.12.2023,6800/50030254,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,SANCAKTEPE O.M.,4012985739.0,598885613.0,686724842.0,40.964121335507,29.2647710744224,3344,MEHMET AKİF,SULTANBEYLİ,9.0,1.0,NİTELİKLİ,OK,ZM,07.11.2023,6800/51440202,KAYITTA OLMAYAN SAYAÇ(TESİSATSIZ).,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,SANCAKTEPE O.M.,4012890032.0,596180162.0,684414720.0,40.9875868,29.2466067,3337,OSMANGAZİ,SANCAKTEPE,9.0,1.0,NİTELİKLİ,OK,ZM,24.07.2023,6800/50030244,KAYITTA OLMAYAN SAYAÇ(TESİSATSIZ).,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4005134937.0,593612231.0,682237300.0,40.9805400585565,29.0217609978174,3337,CAFERAĞA,KADIKÖY,6.0,1.0,NİTELİKLİ,OK,VC,23.03.2023,6800/50030217,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Takılamadı,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4005134937.0,594305759.0,682821924.0,40.9805400585565,29.0217609978174,3337,CAFERAĞA,KADIKÖY,6.0,1.0,NİTELİKLİ,OK,VC,03.05.2023,6800/50030204,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4005134937.0,595966634.0,684241795.0,40.9805400585565,29.0217609978174,3337,CAFERAĞA,KADIKÖY,6.0,1.0,NİTELİKLİ,OK,VC,18.07.2023,6800/50030217,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Yok,KAVİ İŞLEMLERİ
